REVIEW_ID,RAW_DESCRIPTION,ORIGINAL_REASON,NEW_CLASSIFICATION,MATCHED_PRODUCT_ID,MATCHED_PRODUCT,VALID_PRICE_FOUND,CURRENT_LIST_PRICE,PROPOSED_LIST_PRICE,PROPOSED_LIST_PRICE_2_DECIMALS,ACTION,CONFIDENCE,SOURCE,IS_FOOD,IS_MEAT,IS_SERVICE,PRICE_RULE,PRICE_EVIDENCE_FILE,PRICE_EVIDENCE_SHEET,PRICE_EVIDENCE_ROW,IDENTITY_KEY,ORIGINAL_REASONS
AG-1343,FACT-B15-001,PRICE_COLUMN_AMBIGUOUS;MISSING_VALID_PRICE,NON_PRODUCT,,,,,,,IGNORE_NON_PRODUCT,HIGH,COTIZACIONES_DORALEX_SRL_bb53.xlsx,False,False,False,NO_PRICE,,,,fact-b15-001|FACT-B15-001,PRICE_COLUMN_AMBIGUOUS|MISSING_VALID_PRICE
AG-1344,FACT-B15-125,PRICE_COLUMN_AMBIGUOUS;MISSING_VALID_PRICE,NON_PRODUCT,,,,,,,IGNORE_NON_PRODUCT,HIGH,COTIZACIONES_DORALEX_SRL_bb53.xlsx,False,False,False,NO_PRICE,,,,fact-b15-125|FACT-B15-125,PRICE_COLUMN_AMBIGUOUS|MISSING_VALID_PRICE
AG-1345,FACT-B15-127,PRICE_COLUMN_AMBIGUOUS;MISSING_VALID_PRICE,NON_PRODUCT,,,,,,,IGNORE_NON_PRODUCT,HIGH,COTIZACIONES_DORALEX_SRL_bb53.xlsx,False,False,False,NO_PRICE,,,,fact-b15-127|FACT-B15-127,PRICE_COLUMN_AMBIGUOUS|MISSING_VALID_PRICE
AG-1346,FACT-B15-128,PRICE_COLUMN_AMBIGUOUS;MISSING_VALID_PRICE,NON_PRODUCT,,,,,,,IGNORE_NON_PRODUCT,HIGH,COTIZACIONES_DORALEX_SRL_bb53.xlsx,False,False,False,NO_PRICE,,,,fact-b15-128|FACT-B15-128,PRICE_COLUMN_AMBIGUOUS|MISSING_VALID_PRICE
AG-1347,FACT-B15-129,PRICE_COLUMN_AMBIGUOUS;MISSING_VALID_PRICE,NON_PRODUCT,,,,,,,IGNORE_NON_PRODUCT,HIGH,COTIZACIONES_DORALEX_SRL_bb53.xlsx,False,False,False,NO_PRICE,,,,fact-b15-129|FACT-B15-129,PRICE_COLUMN_AMBIGUOUS|MISSING_VALID_PRICE
