SOURCE_FILE,SOURCE_SHEET,SOURCE_ROW,DOCUMENT_TYPE,RAW_DESCRIPTION,NORMALIZED_DESCRIPTION,QUANTITY,RAW_UNIT_PRICE,PRICE_EXCL_TAX,PRICE_STATUS,IS_SERVICE,IS_FOOD,IS_MEAT,CATEGORY,UOM,IDENTITY_KEY,CURRENCY
COTIZACIONES_0.2_b68c.xlsx,Factura1,34,INVOICE,TRANSPORTE,transporte,5.0,,5271.5,FROM_SUBTOTAL,False,False,False,Ferretería,Units,transporte,DOP
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo1,9,COST_ANALYSIS,Volumen Análisis,volumen analisis,1.0,,,COST_NOT_SALE_PRICE,False,False,False,Ferretería,m³,volumen|analisis,DOP
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo1,10,COST_ANALYSIS,Materiales y Equipos,materiales y equipos,,,,COST_NOT_SALE_PRICE,False,False,False,Ferretería,Units,materiales|equipos,DOP
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo1,11,COST_ANALYSIS,Malla Electrosoldada D2.3 10x10mm + 10% desp.,malla electrosoldada d2.3 10x10mm 10% desp.,0.11,16681.36,,COST_NOT_SALE_PRICE,False,False,False,Ferretería,Units,malla|electrosoldada|d2.3|10x10|mm|10%|desp.,DOP
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo1,12,COST_ANALYSIS,Hormigón industrial 210Kg/cm2 - 10% desp,hormigon industrial 210kg/cm2 - 10% desp,1.1,5652.54,,COST_NOT_SALE_PRICE,False,False,False,Construcción,m³,hormigon|industrial|210|kg/cm2|-|10%|desp|210 kg,DOP
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo1,13,COST_ANALYSIS,Alambre Dulce No. 18,alambre dulce no. 18,1.1,93.22,,COST_NOT_SALE_PRICE,False,False,False,Ferretería,lb,alambre|dulce|no.|18,DOP
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo1,14,COST_ANALYSIS,Mano de Obra,mano de obra,,,,COST_NOT_SALE_PRICE,True,False,False,Servicios,Units,mano|obra,DOP
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo1,15,COST_ANALYSIS,Preparación superficie - Ayudante AY,preparacion superficie - ayudante ay,0.1,847.0,,COST_NOT_SALE_PRICE,True,False,False,Servicios,Days,preparacion|superficie|-|ayudante|ay,DOP
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo1,16,COST_ANALYSIS,Mano de Obra colocación malla,mano de obra colocacion malla,10.0,38.51,,COST_NOT_SALE_PRICE,True,False,False,Servicios,m²,mano|obra|colocacion|malla,DOP
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo1,17,COST_ANALYSIS,Mano de obra frotado y violinado,mano de obra frotado y violinado,10.0,174.73,,COST_NOT_SALE_PRICE,True,False,False,Servicios,m²,mano|obra|frotado|violinado,DOP
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo1,18,COST_ANALYSIS,Total/UND,total/und,,,,COST_NOT_SALE_PRICE,False,False,False,Ferretería,Units,total/und,DOP
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo1,19,COST_ANALYSIS,TOTAL/M3,total/m3,,,,COST_NOT_SALE_PRICE,False,False,False,Ferretería,Units,total/m3,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion2,15,QUOTATION,Preliminares,preliminares,,,,MISSING_VALID_PRICE,False,False,False,Ferretería,Units,preliminares,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion2,16,QUOTATION,Demolicion,demolicion,371.0,200.0,200.0,RECONCILED_SUBTOTAL,True,False,False,Servicios,m²,demolicion,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion2,17,QUOTATION,Preparacion de terreno,preparacion de terreno,1.0,25000.0,25000.0,RECONCILED_SUBTOTAL,True,False,False,Servicios,Units,preparacion|terreno,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion2,18,QUOTATION,Bote de Material,bote de material,1.0,55000.0,55000.0,RECONCILED_SUBTOTAL,True,False,False,Servicios,Units,bote|material,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion2,19,QUOTATION,Brigada topografica,brigada topografica,1.0,30000.0,30000.0,RECONCILED_SUBTOTAL,True,False,False,Servicios,Units,brigada|topografica,DOP
