CANONICAL_ID,CANONICAL_NAME,TYPE,CATEGORY,UOM,BRAND,MODEL,SPECIFICATION,IS_FOOD,IS_MEAT,IS_SERVICE,COMPANY_SCOPE,CURRENT_ODOO_PRODUCT_ID,CURRENT_ODOO_NAME,CURRENT_LIST_PRICE,HISTORICAL_OCCURRENCES,HISTORICAL_MIN_PRICE,HISTORICAL_MAX_PRICE,FINAL_LIST_PRICE,MATCH_TYPE,SOURCE_FILES_COUNT,SOURCE_SHEETS_COUNT,ACTION,REVIEW_REASON,PRICE_RULE,MAX_PRICE_SOURCE_FILE,MAX_PRICE_SOURCE_SHEET,MAX_PRICE_SOURCE_ROW,MAX_PRICE_DOCUMENT_TYPE,MAX_PRICE_DESCRIPTION,MAX_PRICE_QTY,MAX_PRICE_UNIT_EXCL,MAX_PRICE_CURRENCY,IDENTITY_KEY,SOURCE_FILES
AG-1679,POLLO FRESCO,consu,Carnes,Units,,,,False,True,False,PINARIA,,,,12,,,,NEW_PRODUCT,2,12,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,pollo|fresco,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx | COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-1680,CARNE DE RES Rebanada,consu,Carnes,Units,,,,False,True,False,PINARIA,,,,13,,,,NEW_PRODUCT,2,13,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,carne|res|rebanada,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx | COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-1715,Azucarera Pequeña,consu,Alimentos,Units,,,,True,False,False,PINARIA,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,azucarera|pequena,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1761,CARNE DE Cerdo/masa,consu,Carnes,Units,,,,False,True,False,PINARIA,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,carne|cerdo/masa,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1763,Pechuga DE POLLO,consu,Carnes,Units,,,,False,True,False,PINARIA,,,,8,,,,NEW_PRODUCT,2,8,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,pechuga|pollo,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx | COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-1791,Bacalao CON ESPINA,consu,Carnes,Units,,,,False,True,False,PINARIA,,,,12,,,,NEW_PRODUCT,2,12,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,bacalao|espina,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx | COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-1802,MUSLOS DE POLLO FRESCO,consu,Carnes,Units,,,,False,True,False,PINARIA,,,,4,,,,NEW_PRODUCT,1,4,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,muslos|pollo|fresco,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1803,Pechuga DE POLLO Deshuesada,consu,Carnes,Units,,,,False,True,False,PINARIA,,,,6,,,,NEW_PRODUCT,1,6,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,pechuga|pollo|deshuesada,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1805,HUEVOS CARTON 30/1,consu,Alimentos,Units,,,caliber=30/1,True,False,False,PINARIA,,,,4,,,,NEW_PRODUCT,1,4,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,huevos|carton|30/1|30/1,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1806,AZUCAR CREMA,consu,Alimentos,Units,,,,True,False,False,PINARIA,,,,3,,,,NEW_PRODUCT,2,3,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,azucar|crema,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx | COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
