id,module,xml_name,key,name,model,type,inherit_id,priority,active,arch_md5
1642,justech_alexander_reports,delivery_document_dx,justech_alexander_reports.delivery_document_dx,delivery_document_dx,"",qweb,984,16,t,fafe285060575167cff11b3a0135c559
1622,justech_alexander_reports,dx_banks_text,justech_alexander_reports.dx_banks_text,dx_banks_text,"",qweb,"",16,t,6acfaf410c146fa0f1f7436eb15d39ca
1615,justech_alexander_reports,dx_commercial_meta,justech_alexander_reports.dx_commercial_meta,dx_commercial_meta,"",qweb,"",16,t,2ab2c426ee96049e7b7b4286dcce81ce
1614,justech_alexander_reports,dx_customer_card,justech_alexander_reports.dx_customer_card,dx_customer_card,"",qweb,"",16,t,3e4f79f1c2b9d3be1e5490081678334b
1619,justech_alexander_reports,dx_document_end,justech_alexander_reports.dx_document_end,dx_document_end,"",qweb,"",16,t,54309beee6e3dbcce6f562e9934398ad
1610,justech_alexander_reports,dx_footer_blueelite,justech_alexander_reports.dx_footer_blueelite,dx_footer_blueelite,"",qweb,"",16,t,697860c170f746fc0e338c211de275f8
1607,justech_alexander_reports,dx_footer_dominion,justech_alexander_reports.dx_footer_dominion,dx_footer_dominion,"",qweb,"",16,t,5abfde8d2f450ce6f8db6f7e72f9c9cc
1605,justech_alexander_reports,dx_footer_doralex,justech_alexander_reports.dx_footer_doralex,dx_footer_doralex,"",qweb,"",16,t,c9883e0888d2c44d02b31221d01e19e1
1608,justech_alexander_reports,dx_footer_mayuma,justech_alexander_reports.dx_footer_mayuma,dx_footer_mayuma,"",qweb,"",16,t,d554143ab5b73eb13ee714bb4e9e51c6
1606,justech_alexander_reports,dx_footer_pinaria,justech_alexander_reports.dx_footer_pinaria,dx_footer_pinaria,"",qweb,"",16,t,dc5e3634cd1d68881bf0d6dec033e479
1609,justech_alexander_reports,dx_footer_rempart,justech_alexander_reports.dx_footer_rempart,dx_footer_rempart,"",qweb,"",16,t,2723112c00a7f7a69b790cb727582340
1604,justech_alexander_reports,dx_header_blueelite,justech_alexander_reports.dx_header_blueelite,dx_header_blueelite,"",qweb,"",16,t,5c4d2472b861d98b3b4685a0c328ce71
1601,justech_alexander_reports,dx_header_dominion,justech_alexander_reports.dx_header_dominion,dx_header_dominion,"",qweb,"",16,t,94ed62937b91a0c6f0de68b614b67260
1599,justech_alexander_reports,dx_header_doralex,justech_alexander_reports.dx_header_doralex,dx_header_doralex,"",qweb,"",16,t,23e2650d5c643201f67fc9f6117ab28e
1602,justech_alexander_reports,dx_header_mayuma,justech_alexander_reports.dx_header_mayuma,dx_header_mayuma,"",qweb,"",16,t,06f6a621a3ed9fe0945c26d4aebc224a
1600,justech_alexander_reports,dx_header_pinaria,justech_alexander_reports.dx_header_pinaria,dx_header_pinaria,"",qweb,"",16,t,66e1f5a8342d4418c65428497f38900a
1603,justech_alexander_reports,dx_header_rempart,justech_alexander_reports.dx_header_rempart,dx_header_rempart,"",qweb,"",16,t,9b42b34bf03e195ba433fb9910af36ff
1632,justech_alexander_reports,dx_invoice_composition,justech_alexander_reports.dx_invoice_composition,dx_invoice_composition,"",qweb,"",16,t,3b4296b7f7ceedb7646f250e2e26dadc
1616,justech_alexander_reports,dx_line_table,justech_alexander_reports.dx_line_table,dx_line_table,"",qweb,"",16,t,da2b6bf7c6e95a07abb21a4f73b36eef
1633,justech_alexander_reports,dx_payment_composition,justech_alexander_reports.dx_payment_composition,dx_payment_composition,"",qweb,"",16,t,2ac4a223409d6d499691694fcfb161fd
1635,justech_alexander_reports,dx_picking_composition,justech_alexander_reports.dx_picking_composition,dx_picking_composition,"",qweb,"",16,t,61cf17187c646aac3a131172b9bfff49
1617,justech_alexander_reports,dx_picking_lines,justech_alexander_reports.dx_picking_lines,dx_picking_lines,"",qweb,"",16,t,ad67740d7311ba071b7bfe67ab58d4c1
1618,justech_alexander_reports,dx_pin_doc_title,justech_alexander_reports.dx_pin_doc_title,dx_pin_doc_title,"",qweb,"",16,t,4e405c18663f42be989ea4bf150bf059
1634,justech_alexander_reports,dx_purchase_composition,justech_alexander_reports.dx_purchase_composition,dx_purchase_composition,"",qweb,"",16,t,e0d882f6f3df94f9dc1b34750908978b
1636,justech_alexander_reports,dx_report_extras,justech_alexander_reports.dx_report_extras,Bloques extra Doralex,"",qweb,"",16,t,228a6d14945b2bde998edfcadba72db6
1630,justech_alexander_reports,dx_sale_blueelite,justech_alexander_reports.dx_sale_blueelite,dx_sale_blueelite,"",qweb,"",16,t,51d08c1d77d07ae36404a4a36bb9e116
