PRODUCT_ID,TEMPLATE_ID,NAME,CURRENT_TYPE,PROPOSED_TYPE,CURRENT_SALE_OK,PROPOSED_SALE_OK,CURRENT_PURCHASE_OK,PROPOSED_PURCHASE_OK,CATEGORY,COMPANY,ACTIVE,EVIDENCE,CONFIDENCE,ACTION,REASON,MISMATCH,SALE_LINE_REFERENCES,PURCHASE_LINE_REFERENCES,INVOICE_LINE_REFERENCES,STOCK_MOVE_REFERENCES,STOCK_QUANT_REFERENCES,VALUATION_LAYER_REFERENCES,IS_STORABLE,STANDARD_PRICE,LIST_PRICE
110,110,ALAMBRE THHN (AWG) #10 NEGRO PHELPS DODGE,consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=alambre thhn awg 10 negro phelps dodge,DETERMINISTIC,FIX_PURCHASE_OK,"Physical material, merchandise, food or tool",,0,0,1,0,0,0,False,0.0,40.0
111,111,ALAMBRE THHN (AWG) #12 NEGRO PHELPS DODGE,consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=alambre thhn awg 12 negro phelps dodge,DETERMINISTIC,FIX_PURCHASE_OK,"Physical material, merchandise, food or tool",,0,0,1,0,0,0,False,0.0,25.33
124,124,ALAMBRE THHN (AWG) #2 BLANCO PHELPS DODGE,consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=alambre thhn awg 2 blanco phelps dodge,DETERMINISTIC,FIX_PURCHASE_OK,"Physical material, merchandise, food or tool",,0,0,1,0,0,0,False,0.0,216.8
125,125,ALAMBRE THHN (AWG) #4 ROJO PHELPS DODGE,consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=alambre thhn awg 4 rojo phelps dodge,DETERMINISTIC,FIX_PURCHASE_OK,"Physical material, merchandise, food or tool",,0,0,1,0,0,0,False,0.0,136.24
106,106,ALAMBRE THHN (AWG) #8 NEGRO AWG PHELPS DODGE,consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=alambre thhn awg 8 negro awg phelps dodge,DETERMINISTIC,FIX_PURCHASE_OK,"Physical material, merchandise, food or tool",,0,0,1,0,0,0,False,0.0,55.28
105,105,ALAMBRE VINYL (AWG) 12/2 GRIS PHELPS DODGE,consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=alambre vinyl awg 12/2 gris phelps dodge,DETERMINISTIC,FIX_PURCHASE_OK,"Physical material, merchandise, food or tool",,0,0,1,0,0,0,False,0.0,62.8
118,118,"ALICATE EXTENSION 12"" STANLEY",consu,consu,True,True,False,True,,,True,"invoice_lines=1; normalized=alicate extension 12"" stanley",DETERMINISTIC,FIX_PURCHASE_OK,"Physical material, merchandise, food or tool",,0,0,1,0,0,0,False,0.0,1338.0
60,60,"ANGULAR DE 2 X 1/8""",consu,consu,True,True,False,True,,,True,"invoice_lines=1; normalized=angular de 2 x 1/8""",HIGH_CONFIDENCE,FIX_PURCHASE_OK,Already Goods and name is not a service,,0,0,1,0,0,0,False,0.0,2860.0
61,61,"ANGULAR DE 3 X 3/16""",consu,consu,True,True,False,True,,,True,"invoice_lines=1; normalized=angular de 3 x 3/16""",HIGH_CONFIDENCE,FIX_PURCHASE_OK,Already Goods and name is not a service,,0,0,1,0,0,0,False,0.0,4935.0
70,70,BOQUILLA P/LAV PUSH BOT C/REBOSE 100206 45 GENEBRE,consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=boquilla p/lav push bot c/rebose 100206 45 genebre,HIGH_CONFIDENCE,FIX_PURCHASE_OK,Already Goods and name is not a service,,0,0,1,0,0,0,False,0.0,1898.0
1324,1324,BOTE Material Desechable Y Escombro,consu,service,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=bote material desechable y escombro,HIGH_CONFIDENCE,FIX_TYPE,"Construction/haulage/petty-cash activity, not a SKU",SERVICE_AS_PHYSICAL,0,0,0,0,0,0,False,0.0,47000.0
976,976,Bote Material Inservible,consu,service,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=bote material inservible,HIGH_CONFIDENCE,FIX_TYPE,"Construction/haulage/petty-cash activity, not a SKU",SERVICE_AS_PHYSICAL,0,0,0,0,0,0,False,0.0,721.65
98,98,BREAKER CNC 20A 2P,consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=breaker cnc 20a 2p,DETERMINISTIC,FIX_PURCHASE_OK,"Physical material, merchandise, food or tool",,0,0,1,0,0,0,False,0.0,965.0
99,99,BREAKER CNC 2P 16A,consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=breaker cnc 2p 16a,DETERMINISTIC,FIX_PURCHASE_OK,"Physical material, merchandise, food or tool",,0,0,1,0,0,0,False,0.0,787.85
97,97,BREAKER DINWAY 25A 2P,consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=breaker dinway 25a 2p,DETERMINISTIC,FIX_PURCHASE_OK,"Physical material, merchandise, food or tool",,0,0,1,0,0,0,False,0.0,2250.0
103,103,BREAKER DOBLE GRUESO 2P 20 AMP,consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=breaker doble grueso 2p 20 amp,DETERMINISTIC,FIX_PURCHASE_OK,"Physical material, merchandise, food or tool",,0,0,1,0,0,0,False,0.0,1574.0
102,102,BREAKER DOBLE GRUESO 2P 30 AMP,consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=breaker doble grueso 2p 30 amp,DETERMINISTIC,FIX_PURCHASE_OK,"Physical material, merchandise, food or tool",,0,0,1,0,0,0,False,0.0,1574.0
122,122,BREAKER GRUESO 1P 50 AMP THQL-1150 ABB-GE,consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=breaker grueso 1p 50 amp thql-1150 abb-ge,DETERMINISTIC,FIX_PURCHASE_OK,"Physical material, merchandise, food or tool",,0,0,1,0,0,0,False,0.0,892.0
86,86,"BROCHA M/BCO PELO GRIS 2"" BCM20 BYP",consu,consu,True,True,False,True,,,True,"invoice_lines=1; normalized=brocha m/bco pelo gris 2"" bcm20 byp",HIGH_CONFIDENCE,FIX_PURCHASE_OK,Already Goods and name is not a service,,0,0,1,0,0,0,False,0.0,89.99
104,104,CABLE 3/0 AWG THHN NEGRO,consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=cable 3/0 awg thhn negro,DETERMINISTIC,FIX_PURCHASE_OK,"Physical material, merchandise, food or tool",,0,0,1,0,0,0,False,0.0,450.0
96,96,CAJA BREAKER 12 SUPE. OMNIUM,consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=caja breaker 12 supe. omnium,DETERMINISTIC,FIX_PURCHASE_OK,"Physical material, merchandise, food or tool",,0,0,1,0,0,0,False,0.0,3989.0
123,123,CAJA BREAKER 8 A 16 CIRCUITO TLM-812FCUD ABB-GE,consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=caja breaker 8 a 16 circuito tlm-812fcud abb-ge,DETERMINISTIC,FIX_PURCHASE_OK,"Physical material, merchandise, food or tool",,0,0,1,0,0,0,False,0.0,6954.0
146,146,CARTUCHO HP DESKJET 1000 122,consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=cartucho hp deskjet 1000 122,HIGH_CONFIDENCE,FIX_PURCHASE_OK,Already Goods and name is not a service,,0,0,1,0,0,0,False,0.0,2000.0
73,73,CEMENTO BLANCO 2KG (4.4LBS) 2KG PEGAFORTE,consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=cemento blanco 2kg 4.4lbs 2kg pegaforte,DETERMINISTIC,FIX_PURCHASE_OK,"Physical material, merchandise, food or tool",,0,0,1,0,0,0,False,0.0,205.0
