PRODUCT_ID,TEMPLATE_ID,NAME,CURRENT_TYPE,PROPOSED_TYPE,CURRENT_SALE_OK,PROPOSED_SALE_OK,CURRENT_PURCHASE_OK,PROPOSED_PURCHASE_OK,CATEGORY,COMPANY,ACTIVE,EVIDENCE,CONFIDENCE,ACTION,REASON,MISMATCH,SALE_LINE_REFERENCES,PURCHASE_LINE_REFERENCES,INVOICE_LINE_REFERENCES,STOCK_MOVE_REFERENCES,STOCK_QUANT_REFERENCES,VALUATION_LAYER_REFERENCES,IS_STORABLE,STANDARD_PRICE,LIST_PRICE
1523,1523,MAIZ DULCE Rodrigo 15 OZ 24/1,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=maiz dulce rodrigo 15 oz 24/1,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,1200.0
587,587,MALLA 6X50-C9,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=malla 6x50-c9,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,16095.5
784,784,MALLA Ciclonica 6X50″ C-29,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=malla ciclonica 6x50 c-29,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,12458.85
626,626,MALLA Elect/s D2.5X D2.5X20X20 ROLLO 40MT/ 2.74 QQ Generico,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=malla elect/s d2.5x d2.5x20x20 rollo 40mt/ 2.74 qq generico,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,12113.6
623,623,MALLA Senalizacion MAMEY 4'x100' BFW4100E Griprite,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=malla senalizacion mamey 4 x100 bfw4100e griprite,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,2864.0
588,588,Mandarria C/mango 16 LBS MD-16M TRUPER,consu,consu,True,True,True,True,Herramientas,,True,category=Herramientas; normalized=mandarria c/mango 16 lbs md-16m truper,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,3643.0
181,181,Manejadora De 5ton,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=manejadora de 5ton,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,9500.0
187,187,"Manejadora Inverter 60,000 BTU",consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=manejadora inverter 60 000 btu,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,190000.0
794,794,Manguera Inodoro EASTAM 320'',consu,consu,True,True,True,True,Plomería,,True,category=Plomería; normalized=manguera inodoro eastam 320,DETERMINISTIC,KEEP,"Physical material, merchandise, food or tool",,0,0,0,0,0,0,False,0.0,400.0
709,709,Manguera Lavamanos EASTAM 1/2''x30,consu,consu,True,True,True,True,Plomería,,True,category=Plomería; normalized=manguera lavamanos eastam 1/2 x30,DETERMINISTIC,KEEP,"Physical material, merchandise, food or tool",,0,0,0,0,0,0,False,0.0,435.0
468,468,MANIJA TIPO PUNO PARA ATAUD,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=manija tipo puno para ataud,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,730.0
800,800,Manometro G/glicerina Genebre 1/4'',consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=manometro g/glicerina genebre 1/4,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,610.0
